Category,Exercise Name,Paintball Performance Benefit,Description,Primary Muscles,Secondary Muscles,Tips,Video Link
prep,Foam Roll Lumbar Bridge,"Improves mobility and movement quality to reduce injury risk and enhance performance. Better movement patterns lead to faster, more efficient play.","Perform the mobility or flexibility exercise as demonstrated, moving through the full range of motion with control. Focus on breathing deeply and relaxing into the stretch or movement. Move slowly and deliberately, never forcing past your comfortable range. Hold static stretches for the prescribed time or perform dynamic movements for the prescribed repetitions.",N/A (Mobility),,"
• Maintain proper form over speed
• Breathe consistently throughout the movement
• Focus on quality reps",https://www.youtube.com/watch?v=t-VNFem6mEY
prep,Foam Roll Pec Release,"Improves mobility and movement quality to reduce injury risk and enhance performance. Better movement patterns lead to faster, more efficient play.","Perform the mobility or flexibility exercise as demonstrated, moving through the full range of motion with control. Focus on breathing deeply and relaxing into the stretch or movement. Move slowly and deliberately, never forcing past your comfortable range. Hold static stretches for the prescribed time or perform dynamic movements for the prescribed repetitions.",N/A (Mobility),,"
• Maintain proper form over speed
• Breathe consistently throughout the movement
• Focus on quality reps",https://www.youtube.com/watch?v=Mox7O4GFwfY
squat,Landmine Squat Hold,"Builds leg strength and power for running, diving, and maintaining a low athletic stance. Essential for quick direction changes and absorbing impact.","Stand with feet shoulder-width apart, toes turned out slightly. Keep your chest up, core engaged, and maintain a neutral spine. Sit back and down as if sitting into a chair, pushing your knees out in line with your toes. Descend until your thighs are at least parallel to the floor, or as deep as your mobility allows while maintaining good form. Drive through your heels to return to standing, keeping your core tight throughout.","Quadriceps, Glutes","Hamstrings, Core","
• Maintain proper form over speed
• Breathe consistently throughout the movement
• Focus on quality reps",https://www.youtube.com/watch?v=1v7naToylG8
squat,Lumberjack Squat,"Builds leg strength and power for running, diving, and maintaining a low athletic stance. Essential for quick direction changes and absorbing impact.","Stand with feet shoulder-width apart, toes turned out slightly. Keep your chest up, core engaged, and maintain a neutral spine. Sit back and down as if sitting into a chair, pushing your knees out in line with your toes. Descend until your thighs are at least parallel to the floor, or as deep as your mobility allows while maintaining good form. Drive through your heels to return to standing, keeping your core tight throughout.","Quadriceps, Glutes","Hamstrings, Core","
• Maintain proper form over speed
• Breathe consistently throughout the movement
• Focus on quality reps",https://www.youtube.com/watch?v=XFZ4hhPaE5Q
lunge,KB Front Rack Walking Lunge,"Improves single-leg stability and strength for lateral movements, stepping over bunkers, and maintaining balance during quick transitions on uneven terrain.","Stand tall with feet hip-width apart. Step forward with one leg, lowering your back knee toward the ground by bending both knees. Keep your torso upright and front knee in line with your toes. Descend until both knees are bent to approximately 90 degrees. Push through your front heel to step forward with your back leg into the next lunge. Continue alternating legs, moving forward with each rep.","Quadriceps, Glutes","Hamstrings, Core","
• Maintain proper form over speed
• Breathe consistently throughout the movement
• Focus on quality reps",https://www.youtube.com/watch?v=ZDCR3Z7t81k
energy system,Inline Half Kneel w/ Hip Flexion,Conditions your anaerobic system to match paintball's demand pattern: short explosive bursts followed by brief recovery periods. Builds game-ready conditioning.,Execute this conditioning movement with maximal effort and proper form. Focus on generating power from your hips and core. Maintain good breathing patterns and work-to-rest ratios as prescribed. Keep movements explosive yet controlled. Complete the prescribed reps or time interval while maintaining intensity.,Full Body (Lower Focus),"Core, Calves","
• Maintain proper form over speed
• Breathe consistently throughout the movement
• Focus on quality reps",https://www.youtube.com/watch?v=2hUogwKmlLo
prep,Thoracic Spine Foam Roll Mobility,"Improves mobility and movement quality to reduce injury risk and enhance performance. Better movement patterns lead to faster, more efficient play.","Perform the mobility or flexibility exercise as demonstrated, moving through the full range of motion with control. Focus on breathing deeply and relaxing into the stretch or movement. Move slowly and deliberately, never forcing past your comfortable range. Hold static stretches for the prescribed time or perform dynamic movements for the prescribed repetitions.",N/A (Mobility),,"
• Maintain proper form over speed
• Breathe consistently throughout the movement
• Focus on quality reps",https://www.youtube.com/watch?v=z6Tas5JOkG0
energy system,90/90 Pigeon Pose,Conditions your anaerobic system to match paintball's demand pattern: short explosive bursts followed by brief recovery periods. Builds game-ready conditioning.,Execute this conditioning movement with maximal effort and proper form. Focus on generating power from your hips and core. Maintain good breathing patterns and work-to-rest ratios as prescribed. Keep movements explosive yet controlled. Complete the prescribed reps or time interval while maintaining intensity.,Full Body (Lower Focus),"Core, Calves","
• Maintain proper form over speed
• Breathe consistently throughout the movement
• Focus on quality reps",https://www.youtube.com/watch?v=ghmurwnada8
pull,Lateral Hop Reactive Prep,"Strengthens the back and grip for marker control, pulling yourself up or over obstacles, and maintaining posture during extended games.","Position yourself appropriately for the pulling movement with a stable base and engaged core. Initiate the pull by retracting your shoulder blades, then drive your elbows back. Focus on squeezing your back muscles at peak contraction. Lower the weight with control, maintaining tension throughout.","Back, Lats","Core, Forearms","
• Land softly with bent knees to absorb impact
• Focus on explosive takeoff and controlled landing
• Keep core engaged throughout the movement",https://www.youtube.com/watch?v=YJTA7jjh1EQ
energy system,High Knee Stabilization,Conditions your anaerobic system to match paintball's demand pattern: short explosive bursts followed by brief recovery periods. Builds game-ready conditioning.,Execute this conditioning movement with maximal effort and proper form. Focus on generating power from your hips and core. Maintain good breathing patterns and work-to-rest ratios as prescribed. Keep movements explosive yet controlled. Complete the prescribed reps or time interval while maintaining intensity.,Full Body (Lower Focus),"Core, Calves","
• Maintain proper form over speed
• Breathe consistently throughout the movement
• Focus on quality reps",https://www.youtube.com/watch?v=NPx-xqhj4vw
hinge,RDL Top Down,"Develops posterior chain power for explosive acceleration, snap shooting from cover, and maintaining low athletic positions during games.","Stand with feet hip-width apart, holding the weight with an overhand grip in front of your thighs. Keeping your back flat and knees slightly bent, hinge at your hips and lower the weight along your legs until you feel a stretch in your hamstrings. Keep the bar close to your body throughout the entire movement. Engage your core and drive through your heels to reverse the movement and return to standing, squeezing your glutes at the top.","Hamstrings, Glutes","Lower Back, Core","
• Keep the bar/weight close to your body
• Push through your heels
• Maintain neutral spine throughout",https://www.youtube.com/watch?v=FiH1ppt8mD4
squat,Anterior Loaded Jump Squat,"Builds leg strength and power for running, diving, and maintaining a low athletic stance. Essential for quick direction changes and absorbing impact.","Stand with feet shoulder-width apart, toes turned out slightly. Keep your chest up, core engaged, and maintain a neutral spine. Sit back and down as if sitting into a chair, pushing your knees out in line with your toes. Descend until your thighs are at least parallel to the floor, or as deep as your mobility allows while maintaining good form. Drive through your heels to return to standing, keeping your core tight throughout.","Quadriceps, Glutes","Hamstrings, Core","
• Land softly with bent knees to absorb impact
• Focus on explosive takeoff and controlled landing
• Keep core engaged throughout the movement",https://www.youtube.com/watch?v=zcTsOsahl7E
lunge,Landmine Reverse Lunge,"Improves single-leg stability and strength for lateral movements, stepping over bunkers, and maintaining balance during quick transitions on uneven terrain.","Stand tall with feet hip-width apart. Step backward with one leg, landing on the ball of your foot. Lower your back knee toward the ground by bending both knees, keeping your torso upright and front knee in line with your toes. Descend until both knees are bent to approximately 90 degrees. Drive through your front heel to return to standing. Complete all reps on one side before switching.","Quadriceps, Glutes","Hamstrings, Core","
• Maintain proper form over speed
• Breathe consistently throughout the movement
• Focus on quality reps",https://www.youtube.com/watch?v=Gtnoh-Mfua4
prep,Assessment Intro,"Improves mobility and movement quality to reduce injury risk and enhance performance. Better movement patterns lead to faster, more efficient play.","Position yourself in the proper starting stance for this movement. Engage your core and maintain good posture throughout. Execute the movement with control and proper form, focusing on the target muscle groups. Breathe steadily, exhaling during the exertion phase. Move through the full range of motion while maintaining tension in the working muscles. Complete the prescribed sets and repetitions with consistent quality.",N/A (Mobility),,"
• Maintain proper form over speed
• Breathe consistently throughout the movement
• Focus on quality reps",https://www.youtube.com/watch?v=vMn5ban_Kms
core,Bird Dog,"Critical for transferring power between upper and lower body, stabilizing during rapid direction changes, and protecting the spine during dives and impacts.","Start on your hands and knees in a tabletop position. Engage your core and maintain a neutral spine. Simultaneously extend one arm straight forward and the opposite leg straight back, creating a straight line from fingertips to toes. Hold briefly, focusing on balance and stability. Return with control and repeat with opposite limbs.",Core,Hip Flexors,"
• Avoid holding your breath - breathe naturally
• Focus on preventing movement, not creating it
• Keep hips level and avoid rotation",https://www.youtube.com/watch?v=6ttw6qi_bec
core,Low Plank,"Critical for transferring power between upper and lower body, stabilizing during rapid direction changes, and protecting the spine during dives and impacts.","Start in a high plank position with your body forming a straight line from head to heels. Engage your core, squeeze your glutes, and maintain a neutral spine. Keep your hands directly under your shoulders with arms extended. Avoid letting your hips sag or pike up. Breathe steadily and hold for the prescribed time, maintaining maximum tension throughout.",Core,Hip Flexors,"
• Avoid holding your breath - breathe naturally
• Focus on preventing movement, not creating it
• Keep hips level and avoid rotation",https://www.youtube.com/watch?v=wFSCGmtGAZ4
energy system,Bear Crawl,Conditions your anaerobic system to match paintball's demand pattern: short explosive bursts followed by brief recovery periods. Builds game-ready conditioning.,Execute this conditioning movement with maximal effort and proper form. Focus on generating power from your hips and core. Maintain good breathing patterns and work-to-rest ratios as prescribed. Keep movements explosive yet controlled. Complete the prescribed reps or time interval while maintaining intensity.,Full Body (Lower Focus),"Core, Calves","
• Maintain proper form over speed
• Breathe consistently throughout the movement
• Focus on quality reps",https://www.youtube.com/watch?v=ImXKbmYGL9I
prep,Quadruped Thoracic Rotation,"Improves mobility and movement quality to reduce injury risk and enhance performance. Better movement patterns lead to faster, more efficient play.","Position yourself for the rotational movement. Engage your core throughout. Rotate through your torso while keeping hips stable. Focus on controlled, powerful rotation generated from your core, not momentum. Return to starting position with the same control and repeat.",N/A (Mobility),,"
• Maintain proper form over speed
• Breathe consistently throughout the movement
• Focus on quality reps",https://www.youtube.com/watch?v=TTlOm3MBFh8
hinge,Glute Bridge,"Develops posterior chain power for explosive acceleration, snap shooting from cover, and maintaining low athletic positions during games.","Stand with feet hip-width apart in a stable position. Hinge at your hips while keeping your back flat and maintaining a slight bend in your knees. Lower the weight until you feel a stretch in your hamstrings, keeping the weight close to your body throughout. Engage your glutes and hamstrings to reverse the movement and return to standing, squeezing your glutes at the top.","Hamstrings, Glutes","Lower Back, Core","
• Keep the bar/weight close to your body
• Push through your heels
• Maintain neutral spine throughout",https://www.youtube.com/watch?v=l2_fQXaY1OE
hinge,S/L Glute Bridge,"Develops posterior chain power for explosive acceleration, snap shooting from cover, and maintaining low athletic positions during games.","Stand with feet hip-width apart in a stable position. Hinge at your hips while keeping your back flat and maintaining a slight bend in your knees. Lower the weight until you feel a stretch in your hamstrings, keeping the weight close to your body throughout. Engage your glutes and hamstrings to reverse the movement and return to standing, squeezing your glutes at the top.","Hamstrings, Glutes","Lower Back, Core","
• Keep the bar/weight close to your body
• Push through your heels
• Maintain neutral spine throughout",https://www.youtube.com/watch?v=0lMqqjka304
energy system,Hip Raise Side Bridge,Conditions your anaerobic system to match paintball's demand pattern: short explosive bursts followed by brief recovery periods. Builds game-ready conditioning.,Execute this conditioning movement with maximal effort and proper form. Focus on generating power from your hips and core. Maintain good breathing patterns and work-to-rest ratios as prescribed. Keep movements explosive yet controlled. Complete the prescribed reps or time interval while maintaining intensity.,Full Body (Lower Focus),"Core, Calves","
• Maintain proper form over speed
• Breathe consistently throughout the movement
• Focus on quality reps",https://www.youtube.com/watch?v=cB0SVI07mDk
energy system,Half Kneeling Dorsiflexion Test,Conditions your anaerobic system to match paintball's demand pattern: short explosive bursts followed by brief recovery periods. Builds game-ready conditioning.,Execute this conditioning movement with maximal effort and proper form. Focus on generating power from your hips and core. Maintain good breathing patterns and work-to-rest ratios as prescribed. Keep movements explosive yet controlled. Complete the prescribed reps or time interval while maintaining intensity.,Full Body (Lower Focus),"Core, Calves","
• Maintain proper form over speed
• Breathe consistently throughout the movement
• Focus on quality reps",https://www.youtube.com/watch?v=nZyA_7VElKg
squat,Bodyweight Goblet Squat,"Builds leg strength and power for running, diving, and maintaining a low athletic stance. Essential for quick direction changes and absorbing impact.","Hold a kettlebell or dumbbell vertically at chest height, with both hands cupping the weight. Stand with feet slightly wider than shoulder-width, toes turned out slightly. Keeping your chest up and core engaged, sit back and down, pushing your knees out in line with your toes. Descend until your thighs are at least parallel to the floor, keeping the weight close to your body. Drive through your heels to return to standing, maintaining an upright torso throughout.","Quadriceps, Glutes","Hamstrings, Core","
• Maintain proper form over speed
• Breathe consistently throughout the movement
• Focus on quality reps",https://www.youtube.com/watch?v=YnrBueij4CU
hinge,Bodyweight RDL,"Develops posterior chain power for explosive acceleration, snap shooting from cover, and maintaining low athletic positions during games.","Stand with feet hip-width apart, holding the weight with an overhand grip in front of your thighs. Keeping your back flat and knees slightly bent, hinge at your hips and lower the weight along your legs until you feel a stretch in your hamstrings. Keep the bar close to your body throughout the entire movement. Engage your core and drive through your heels to reverse the movement and return to standing, squeezing your glutes at the top.","Hamstrings, Glutes","Lower Back, Core","
• Keep the bar/weight close to your body
• Push through your heels
• Maintain neutral spine throughout",https://www.youtube.com/watch?v=aRsNwrzQzaE
prep,Overhead Assessment,"Improves mobility and movement quality to reduce injury risk and enhance performance. Better movement patterns lead to faster, more efficient play.","Position yourself in the proper starting stance for this movement. Engage your core and maintain good posture throughout. Execute the movement with control and proper form, focusing on the target muscle groups. Breathe steadily, exhaling during the exertion phase. Move through the full range of motion while maintaining tension in the working muscles. Complete the prescribed sets and repetitions with consistent quality.",N/A (Mobility),,"
• Maintain proper form over speed
• Breathe consistently throughout the movement
• Focus on quality reps",https://www.youtube.com/watch?v=q7GMmXdCyOM
sprint,Triple Hurdle Skater Hop,"Directly trains the explosive speed, agility, and change of direction skills needed for breaking to bunkers, evading opponents, and creating angles.","Stand with feet hip-width apart, holding the weight with an overhand grip in front of your thighs. Keeping your back flat and knees slightly bent, hinge at your hips and lower the weight along your legs until you feel a stretch in your hamstrings. Keep the bar close to your body throughout the entire movement. Engage your core and drive through your heels to reverse the movement and return to standing, squeezing your glutes at the top.","Quadriceps, Hamstrings","Calves, Core","
• Land softly with bent knees to absorb impact
• Focus on explosive takeoff and controlled landing
• Keep core engaged throughout the movement",https://www.youtube.com/watch?v=pXJGE0-3O-E
sprint,Lateral Hurdle Hop to Slide,"Directly trains the explosive speed, agility, and change of direction skills needed for breaking to bunkers, evading opponents, and creating angles.","Stand with feet hip-width apart, holding the weight with an overhand grip in front of your thighs. Keeping your back flat and knees slightly bent, hinge at your hips and lower the weight along your legs until you feel a stretch in your hamstrings. Keep the bar close to your body throughout the entire movement. Engage your core and drive through your heels to reverse the movement and return to standing, squeezing your glutes at the top.","Quadriceps, Hamstrings","Calves, Core","
• Land softly with bent knees to absorb impact
• Focus on explosive takeoff and controlled landing
• Keep core engaged throughout the movement",https://www.youtube.com/watch?v=JIfwzdbmTRk
hinge,S/L Hurdle High Knee,"Develops posterior chain power for explosive acceleration, snap shooting from cover, and maintaining low athletic positions during games.","Stand on one leg with a slight bend in the knee, holding the weight in the opposite hand. Keeping your back flat and maintaining balance, hinge at your hips and lower the weight toward the floor while extending your free leg behind you. Lower until you feel a stretch in your hamstring, keeping your hips square. Drive through your heel to return to standing, squeezing your glutes at the top. Complete all reps on one side before switching.","Hamstrings, Glutes","Lower Back, Core","
• Keep the bar/weight close to your body
• Push through your heels
• Maintain neutral spine throughout",https://www.youtube.com/watch?v=XV8RH8SdXI4
hinge,Hurdle Box Hop,"Develops posterior chain power for explosive acceleration, snap shooting from cover, and maintaining low athletic positions during games.","Stand with feet hip-width apart, holding the weight with an overhand grip in front of your thighs. Keeping your back flat and knees slightly bent, hinge at your hips and lower the weight along your legs until you feel a stretch in your hamstrings. Keep the bar close to your body throughout the entire movement. Engage your core and drive through your heels to reverse the movement and return to standing, squeezing your glutes at the top.","Hamstrings, Glutes","Lower Back, Core","
• Land softly with bent knees to absorb impact
• Focus on explosive takeoff and controlled landing
• Keep core engaged throughout the movement",https://www.youtube.com/watch?v=1_NBhGaE0CE
energy system,Stairway to Heaven Double Hop,Conditions your anaerobic system to match paintball's demand pattern: short explosive bursts followed by brief recovery periods. Builds game-ready conditioning.,"Execute the plyometric or sprint movement with explosive power and proper mechanics. Focus on powerful leg drive, quick foot contacts, and maintaining an athletic posture. Land softly from all jumps, absorbing impact through your joints. Complete the prescribed repetitions or distance with consistent intensity.",Full Body (Lower Focus),"Core, Calves","
• Land softly with bent knees to absorb impact
• Focus on explosive takeoff and controlled landing
• Keep core engaged throughout the movement",https://www.youtube.com/watch?v=aWC4rVtSTOo
sprint,Hurdle Hop to Lateral Step,"Directly trains the explosive speed, agility, and change of direction skills needed for breaking to bunkers, evading opponents, and creating angles.","Stand with feet hip-width apart, holding the weight with an overhand grip in front of your thighs. Keeping your back flat and knees slightly bent, hinge at your hips and lower the weight along your legs until you feel a stretch in your hamstrings. Keep the bar close to your body throughout the entire movement. Engage your core and drive through your heels to reverse the movement and return to standing, squeezing your glutes at the top.","Quadriceps, Hamstrings","Calves, Core","
• Land softly with bent knees to absorb impact
• Focus on explosive takeoff and controlled landing
• Keep core engaged throughout the movement",https://www.youtube.com/watch?v=oCnLsksBmXs
sprint,Box Cone Drill,"Directly trains the explosive speed, agility, and change of direction skills needed for breaking to bunkers, evading opponents, and creating angles.","Execute the plyometric or sprint movement with explosive power and proper mechanics. Focus on powerful leg drive, quick foot contacts, and maintaining an athletic posture. Land softly from all jumps, absorbing impact through your joints. Complete the prescribed repetitions or distance with consistent intensity.","Quadriceps, Hamstrings","Calves, Core","
• Maintain proper sprint mechanics: drive knees up
• Quick foot contacts with the ground
• Stay light on your feet and athletic",https://www.youtube.com/watch?v=1s9N2sj3Gd8
sprint,10 Speed Ladder Drills V2,"Directly trains the explosive speed, agility, and change of direction skills needed for breaking to bunkers, evading opponents, and creating angles.","Set up in front of the agility ladder. Execute the prescribed footwork pattern through the ladder, focusing on quick, light foot contacts. Keep your center of gravity low and maintain an athletic posture. Move through the ladder as quickly as possible while maintaining proper form and rhythm.","Quadriceps, Hamstrings","Calves, Core","
• Maintain proper sprint mechanics: drive knees up
• Quick foot contacts with the ground
• Stay light on your feet and athletic",https://www.youtube.com/watch?v=0SUaqA9wDJo
sprint,10 Speed Ladder Drills V1,"Directly trains the explosive speed, agility, and change of direction skills needed for breaking to bunkers, evading opponents, and creating angles.","Set up in front of the agility ladder. Execute the prescribed footwork pattern through the ladder, focusing on quick, light foot contacts. Keep your center of gravity low and maintain an athletic posture. Move through the ladder as quickly as possible while maintaining proper form and rhythm.","Quadriceps, Hamstrings","Calves, Core","
• Maintain proper sprint mechanics: drive knees up
• Quick foot contacts with the ground
• Stay light on your feet and athletic",https://www.youtube.com/watch?v=x7pNiFFX5LM
prep,Standing Thoracic CARS,"Improves mobility and movement quality to reduce injury risk and enhance performance. Better movement patterns lead to faster, more efficient play.","Position yourself in the proper starting stance for this movement. Engage your core and maintain good posture throughout. Execute the movement with control and proper form, focusing on the target muscle groups. Breathe steadily, exhaling during the exertion phase. Move through the full range of motion while maintaining tension in the working muscles. Complete the prescribed sets and repetitions with consistent quality.",N/A (Mobility),,"
• Maintain proper form over speed
• Breathe consistently throughout the movement
• Focus on quality reps",https://www.youtube.com/watch?v=3Sgop-X5pZ8
energy system,Standing Spine Flexion/Extension,Conditions your anaerobic system to match paintball's demand pattern: short explosive bursts followed by brief recovery periods. Builds game-ready conditioning.,Execute this conditioning movement with maximal effort and proper form. Focus on generating power from your hips and core. Maintain good breathing patterns and work-to-rest ratios as prescribed. Keep movements explosive yet controlled. Complete the prescribed reps or time interval while maintaining intensity.,Full Body (Lower Focus),"Core, Calves","
• Maintain proper form over speed
• Breathe consistently throughout the movement
• Focus on quality reps",https://www.youtube.com/watch?v=BT1G50DuRdg
core,Plank Walk Out,"Critical for transferring power between upper and lower body, stabilizing during rapid direction changes, and protecting the spine during dives and impacts.","Start in a high plank position with your body forming a straight line from head to heels. Engage your core, squeeze your glutes, and maintain a neutral spine. Keep your hands directly under your shoulders with arms extended. Avoid letting your hips sag or pike up. Breathe steadily and hold for the prescribed time, maintaining maximum tension throughout.",Core,Hip Flexors,"
• Avoid holding your breath - breathe naturally
• Focus on preventing movement, not creating it
• Keep hips level and avoid rotation",https://www.youtube.com/watch?v=wpf3M6p6-ho
sprint,Lateral Crossover Speed Ladder,"Directly trains the explosive speed, agility, and change of direction skills needed for breaking to bunkers, evading opponents, and creating angles.","Position yourself appropriately for the pulling movement with a stable base and engaged core. Initiate the pull by retracting your shoulder blades, then drive your elbows back. Focus on squeezing your back muscles at peak contraction. Lower the weight with control, maintaining tension throughout.","Quadriceps, Hamstrings","Calves, Core","
• Maintain proper sprint mechanics: drive knees up
• Quick foot contacts with the ground
• Stay light on your feet and athletic",https://www.youtube.com/watch?v=22c5Jw5q2Es
sprint,Lateral 2 Feet In Speed Ladder,"Directly trains the explosive speed, agility, and change of direction skills needed for breaking to bunkers, evading opponents, and creating angles.","Position yourself appropriately for the pulling movement with a stable base and engaged core. Initiate the pull by retracting your shoulder blades, then drive your elbows back. Focus on squeezing your back muscles at peak contraction. Lower the weight with control, maintaining tension throughout.","Quadriceps, Hamstrings","Calves, Core","
• Maintain proper sprint mechanics: drive knees up
• Quick foot contacts with the ground
• Stay light on your feet and athletic",https://www.youtube.com/watch?v=f56-4yIVahk
sprint,Over/Under Speed Ladder,"Directly trains the explosive speed, agility, and change of direction skills needed for breaking to bunkers, evading opponents, and creating angles.","Set up in front of the agility ladder. Execute the prescribed footwork pattern through the ladder, focusing on quick, light foot contacts. Keep your center of gravity low and maintain an athletic posture. Move through the ladder as quickly as possible while maintaining proper form and rhythm.","Quadriceps, Hamstrings","Calves, Core","
• Maintain proper sprint mechanics: drive knees up
• Quick foot contacts with the ground
• Stay light on your feet and athletic",https://www.youtube.com/watch?v=2rWJUv1WYrg
sprint,Icky Shuffle to Skater Hop Speed Ladder,"Directly trains the explosive speed, agility, and change of direction skills needed for breaking to bunkers, evading opponents, and creating angles.","Set up in front of the agility ladder. Execute the prescribed footwork pattern through the ladder, focusing on quick, light foot contacts. Keep your center of gravity low and maintain an athletic posture. Move through the ladder as quickly as possible while maintaining proper form and rhythm.","Quadriceps, Hamstrings","Calves, Core","
• Land softly with bent knees to absorb impact
• Focus on explosive takeoff and controlled landing
• Keep core engaged throughout the movement",https://www.youtube.com/watch?v=biZl-HTNJuI
sprint,River Dance Speed Ladder,"Directly trains the explosive speed, agility, and change of direction skills needed for breaking to bunkers, evading opponents, and creating angles.","Set up in front of the agility ladder. Execute the prescribed footwork pattern through the ladder, focusing on quick, light foot contacts. Keep your center of gravity low and maintain an athletic posture. Move through the ladder as quickly as possible while maintaining proper form and rhythm.","Quadriceps, Hamstrings","Calves, Core","
• Maintain proper sprint mechanics: drive knees up
• Quick foot contacts with the ground
• Stay light on your feet and athletic",https://www.youtube.com/watch?v=wb_SkUrMrtU
sprint,90 Degree Change of Direction Drill,"Directly trains the explosive speed, agility, and change of direction skills needed for breaking to bunkers, evading opponents, and creating angles.","Execute the plyometric or sprint movement with explosive power and proper mechanics. Focus on powerful leg drive, quick foot contacts, and maintaining an athletic posture. Land softly from all jumps, absorbing impact through your joints. Complete the prescribed repetitions or distance with consistent intensity.","Quadriceps, Hamstrings","Calves, Core","
• Maintain proper sprint mechanics: drive knees up
• Quick foot contacts with the ground
• Stay light on your feet and athletic",https://www.youtube.com/watch?v=QcuuAVWLovc
sprint,Crossover/Sprint/Crossover/Sprint,"Directly trains the explosive speed, agility, and change of direction skills needed for breaking to bunkers, evading opponents, and creating angles.","Assume an athletic starting position. Explode forward with maximum effort, driving your knees up and pumping your arms powerfully. Focus on proper sprint mechanics: forward lean, powerful leg drive, and quick foot turnover. Maintain this maximal effort for the prescribed distance or time.","Quadriceps, Hamstrings","Calves, Core","
• Maintain proper sprint mechanics: drive knees up
• Quick foot contacts with the ground
• Stay light on your feet and athletic",https://www.youtube.com/watch?v=I703wxCCEKw
sprint,Carioca,"Directly trains the explosive speed, agility, and change of direction skills needed for breaking to bunkers, evading opponents, and creating angles.","Execute the plyometric or sprint movement with explosive power and proper mechanics. Focus on powerful leg drive, quick foot contacts, and maintaining an athletic posture. Land softly from all jumps, absorbing impact through your joints. Complete the prescribed repetitions or distance with consistent intensity.","Quadriceps, Hamstrings","Calves, Core","
• Maintain proper sprint mechanics: drive knees up
• Quick foot contacts with the ground
• Stay light on your feet and athletic",https://www.youtube.com/watch?v=gHFM5Fn6ovI
sprint,Lateral Hurdle Hop,"Directly trains the explosive speed, agility, and change of direction skills needed for breaking to bunkers, evading opponents, and creating angles.","Stand with feet hip-width apart, holding the weight with an overhand grip in front of your thighs. Keeping your back flat and knees slightly bent, hinge at your hips and lower the weight along your legs until you feel a stretch in your hamstrings. Keep the bar close to your body throughout the entire movement. Engage your core and drive through your heels to reverse the movement and return to standing, squeezing your glutes at the top.","Quadriceps, Hamstrings","Calves, Core","
• Land softly with bent knees to absorb impact
• Focus on explosive takeoff and controlled landing
• Keep core engaged throughout the movement",https://www.youtube.com/watch?v=_ymX-dIPY9Q
prep,Windmill Hamstring Stretch,"Improves mobility and movement quality to reduce injury risk and enhance performance. Better movement patterns lead to faster, more efficient play.","Perform the mobility or flexibility exercise as demonstrated, moving through the full range of motion with control. Focus on breathing deeply and relaxing into the stretch or movement. Move slowly and deliberately, never forcing past your comfortable range. Hold static stretches for the prescribed time or perform dynamic movements for the prescribed repetitions.",N/A (Mobility),,"
• Maintain proper form over speed
• Breathe consistently throughout the movement
• Focus on quality reps",https://www.youtube.com/watch?v=_7Qh9RF1R84
lunge,Deep Lunge Warm Up Drill,"Improves single-leg stability and strength for lateral movements, stepping over bunkers, and maintaining balance during quick transitions on uneven terrain.","Stand tall with feet hip-width apart. Step forward with one leg, landing with your entire foot flat on the ground. Lower your back knee toward the ground by bending both knees, keeping your torso upright and front knee in line with your toes. Descend until both knees are bent to approximately 90 degrees. Drive through your front heel to return to the starting position. Complete all reps on one side before switching.","Quadriceps, Glutes","Hamstrings, Core","
• Maintain proper form over speed
• Breathe consistently throughout the movement
• Focus on quality reps",https://www.youtube.com/watch?v=w7nqTXjy59s
energy system,Frankenstein Walk,Conditions your anaerobic system to match paintball's demand pattern: short explosive bursts followed by brief recovery periods. Builds game-ready conditioning.,Execute this conditioning movement with maximal effort and proper form. Focus on generating power from your hips and core. Maintain good breathing patterns and work-to-rest ratios as prescribed. Keep movements explosive yet controlled. Complete the prescribed reps or time interval while maintaining intensity.,Full Body (Lower Focus),"Core, Calves","
• Maintain proper form over speed
• Breathe consistently throughout the movement
• Focus on quality reps",https://www.youtube.com/watch?v=H7xHgPe_wLE
sprint,Single Step Speed Ladder,"Directly trains the explosive speed, agility, and change of direction skills needed for breaking to bunkers, evading opponents, and creating angles.","Set up in front of the agility ladder. Execute the prescribed footwork pattern through the ladder, focusing on quick, light foot contacts. Keep your center of gravity low and maintain an athletic posture. Move through the ladder as quickly as possible while maintaining proper form and rhythm.","Quadriceps, Hamstrings","Calves, Core","
• Maintain proper sprint mechanics: drive knees up
• Quick foot contacts with the ground
• Stay light on your feet and athletic",https://www.youtube.com/watch?v=1BZm2xYg6Sg
sprint,2 Feet Forward Speed Ladder,"Directly trains the explosive speed, agility, and change of direction skills needed for breaking to bunkers, evading opponents, and creating angles.","Set up in front of the agility ladder. Execute the prescribed footwork pattern through the ladder, focusing on quick, light foot contacts. Keep your center of gravity low and maintain an athletic posture. Move through the ladder as quickly as possible while maintaining proper form and rhythm.","Quadriceps, Hamstrings","Calves, Core","
• Maintain proper sprint mechanics: drive knees up
• Quick foot contacts with the ground
• Stay light on your feet and athletic",https://www.youtube.com/watch?v=jL6csnGyf74
